X,Y,OBJECTID,WARD_NAME,WARDNO,LocationName,KGISFVLID,ZONE
77.5324350003062,12.867499,1,Hemmigepura,198,Mantri Lake view Appartment Next to Talagattapura Lake,1,RR Nagar
77.5280829995545,12.8717750001904,2,Hemmigepura,198,Kendriya nagara,2,RR Nagar
77.5426940003978,12.8777110000686,3,Hemmigepura,198,Raghuvanahalli,3,RR Nagar
77.5412729999903,12.877864999889,4,Hemmigepura,198,"Balaji Layout, Kanakapura Road",4,RR Nagar
77.6374179998471,12.8789069996308,5,Begur,192,Singasandra Country club road,5,Bommanahalli
77.6040510003254,12.8799690003176,6,Arakere,193,Someshwara layout Arekere,6,Bommanahalli
77.6039869998664,12.8805180001676,7,Arakere,193,BDA layout Hulimavu,7,Bommanahalli
77.6044149998363,12.8805860001823,8,Arakere,193,Kempamma layout RSD Arekere,8,Bommanahalli
77.608253000444,12.8817559999585,9,Arakere,193,Hulimavu Sri Lanka colony,9,Bommanahalli
77.6420749998582,12.8859370001465,10,Singasandra,191,Hosur road near Royal Enfield show room,10,Bommanahalli
77.611508000245,12.8965700001818,11,Bilekhalli,188,Anugraha layout Billekahalli,11,Bommanahalli
77.6929070003515,12.8978170003302,12,Bellandur,150,Doddakannelli,12,Bommanahalli
77.6331209998401,12.9009220002675,13,Hongasandra,189,Garebhavipalya NH  service road junction,13,Bommanahalli
77.6314429996222,12.9013600001532,14,Hongasandra,189,Oxford college NH Junction,14,Bommanahalli
77.6112620004318,12.9018859997625,15,Bilekhalli,188,Anugraha layout RSD phase 1,15,Bommanahalli
77.5988530001048,12.9033309997057,16,JP Nagar,177,Dollars Colony JP Nagar,16,Bommanahalli
77.6028070002702,12.9044550001162,17,Bilekhalli,188,Dollars Colony NS palya (BTM 2nd stage),17,Bommanahalli
77.6267580001024,12.9047820003245,18,Bommanahalli,175,Hongasandara Ambedkar Nagar,18,Bommanahalli
77.6030360002863,12.9049030001327,19,Bilekhalli,188,NS palya RSD,19,Bommanahalli
77.6449330003609,12.909073000038,20,HSR Layout,174,HSR sector 2 Garden layout,20,Bommanahalli
77.6415849997452,12.9093590002885,21,HSR Layout,174,HSR 3rd sector lead off drains,21,Bommanahalli
77.5127089997889,12.9110659996409,22,Hemmigepura,198,BEML layout,22,RR Nagar
77.6324019996395,12.911655,23,HSR Layout,174,Sector 6 lead off drains surrounding 5th and 9th main,23,Bommanahalli
77.6324019996395,12.911655,24,HSR Layout,174,HSR layout 9th and 5th main,24,Bommanahalli
77.574917000122,12.9140560001083,25,Shakambari Nagar,179,Navodaya Layout,25,South
